(index),timestamp,bufferLevel,throughput,latency,throttling
"0	","'2025-02-15T04:37:12.986Z'	","'0.00'	    ","'0.09'	        ",'1840.25',1
"1	","'2025-02-15T04:37:20.995Z'	","'0.00'	    ","'0.09'	        ",'1840.25',1
"2	","'2025-02-15T04:37:28.998Z'	","'6.50'	    ","'0.15'	        ",'85.25',1
"3	","'2025-02-15T04:37:36.988Z'	","'8.46'	    ","'0.23'	        ",'146.00',1
"4	","'2025-02-15T04:37:44.995Z'	","'5.46'	    ","'0.22'	        ",'122.25',1
"5	","'2025-02-15T04:37:52.988Z'	","'7.14'	    ","'0.21'	        ",'109.75',1
"6	","'2025-02-15T04:38:00.993Z'	","'4.13'	    ","'0.22'	        ",'106.25',1
"7	","'2025-02-15T04:38:08.996Z'	","'6.10'	    ","'0.22'	        ",'112.25',1
"8	","'2025-02-15T04:38:16.995Z'	","'13.01'	","'0.53'	    ",'88.25',2
"9	","'2025-02-15T04:38:24.996Z'	","'10.01'	","'1.28'	    ",'22.00',2
"10	","'2025-02-15T04:38:32.993Z'	","'7.00'	    ","'3.00'	        ",'63.75',2
"11	","'2025-02-15T04:38:40.985Z'	","'13.88'	","'2.90'	    ",'29.50',2
"12	","'2025-02-15T04:38:48.991Z'	","'20.83'	","'2.86'	    ",'35.00',2
"13	","'2025-02-15T04:38:56.996Z'	","'27.73'	","'2.86'	    ",'34.50',2
"14	","'2025-02-15T04:39:04.990Z'	","'29.68'	","'2.90'	    ",'31.50',2
"15	","'2025-02-15T04:39:12.995Z'	","'31.37'	","'2.98'	    ",'33.00',2
"16	","'2025-02-15T04:39:20.989Z'	","'28.36'	","'3.00'	    ",'33.50',2
"17	","'2025-02-15T04:39:28.995Z'	","'30.32'	","'3.00'	    ",'29.50',2
"18	","'2025-02-15T04:39:36.993Z'	","'27.30'	","'2.99'	    ",'29.75',2
"19	","'2025-02-15T04:39:44.986Z'	","'29.26'	","'2.98'	    ",'30.75',2
"20	","'2025-02-15T04:39:52.996Z'	","'31.22'	","'2.98'	    ",'31.00',2
"21	","'2025-02-15T04:40:00.985Z'	","'28.18'	","'2.97'	    ",'29.75',2
"22	","'2025-02-15T04:40:08.985Z'	","'30.14'	","'2.98'	    ",'28.00',2
"23	","'2025-02-15T04:40:16.985Z'	","'22.14'	","'2.98'	    ",'28.00',2
"24	","'2025-02-15T04:40:24.984Z'	","'14.15'	","'2.98'	    ",'28.00',3
